event_name,event_date,event_time,venue,address,city,price_min,price_max,category,free_or_paid,status,event_url,image_url,recommendation
David Ostwald's Louis Armstrong Eternity Band,2026-01-14,17:30:00,Birdland Theater,315 West 44th Street,New York,35.46,45.76,Music,Paid,onsale,https://www.ticketweb.com/event/david-ostwalds-louis-armstrong-eternity-birdland-theater-tickets/14622293,https://s1.ticketm.net/dam/c/bea/03d47f66-d37b-4aca-aa17-0135be64dbea_105801_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
The Altogether,2026-01-14,18:00:00,Mercury Lounge,217 East Houston St.,New York,,,Music,Free,onsale,https://www.ticketmaster.com/the-altogether-new-york-new-york-01-14-2026/event/00006378CE47C835,https://s1.ticketm.net/dam/e/d0f/1faec770-8e4c-4a19-a12f-ba2e23edcd0f_RECOMENDATION_16_9.jpg,Not Recommended (Outdoor)
"Boris & The Mess, Regular Degular",2026-01-14,19:00:00,Night Club 101,101 Avenue A,New York,21.56,21.56,Music,Paid,onsale,https://www.ticketweb.com/event/boris-the-mess-regular-night-club-101-tickets/14682143,https://s1.ticketm.net/dam/c/797/5e693c26-2881-4776-8f0c-3aa94bfa3797_106511_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
Delfeayo Marsalis & The Uptown Jazz Orchestra,2026-01-14,19:00:00,Birdland Jazz Club,315 West 44th Street ,New York,45.76,56.06,Music,Paid,onsale,https://www.ticketweb.com/event/delfeayo-marsalis-the-uptown-birdland-jazz-club-tickets/14624513,https://s1.ticketm.net/dam/c/bea/03d47f66-d37b-4aca-aa17-0135be64dbea_105801_RETINA_PORTRAIT_16_9.jpg,Recommended (Indoor)
99 minutes or less,2026-01-14,19:00:00,Night Club 101,101 Avenue A,New York,0.0,0.0,Music,Paid,onsale,https://www.ticketweb.com/event/99-minutes-or-less-night-club-101-tickets/14055564,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_3_2.jpg,Recommended (Indoor)
"East Side Dance Company Presents - Watch Us Dance, Hear Us Speak",2026-01-14,19:00:00,Town Hall,123 West 43rd Street,New York,,,Music,Free,onsale,https://www.ticketmaster.com/east-side-dance-company-presents-watch-new-york-new-york-01-14-2026/event/0300636EC5922713,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_3_2.jpg,Recommended (Indoor)
Halsey: Back To Badlands,2026-01-14,20:00:00,Manhattan Center Hammerstein Ballroom,311 West 34th Street,New York,,,Music,Free,onsale,https://www.ticketmaster.com/halsey-back-to-badlands-new-york-new-york-01-14-2026/event/0000631C9BDF21DC,https://s1.ticketm.net/dam/a/36a/2a4ad78b-9c0b-472d-9999-fbfd949e136a_CUSTOM.jpg,Recommended (Indoor)
Perfume | Washer/Dryer,2026-01-14,20:00:00,The Bowery Electric,327 Bowery,New York,17.45,17.45,Music,Paid,onsale,https://www.ticketweb.com/event/perfume-washerdryer-the-bowery-electric-tickets/13988424,https://s1.ticketm.net/dam/c/f6d/6f417e97-2981-4605-a837-a307d33e3f6d_105491_TABLET_LANDSCAPE_LARGE_16_9.jpg,Not Recommended (Outdoor)
Trio with Nate Smith & James Francies,2026-01-14,20:00:00,Blue Note Jazz Club,131 W. 3rd St,New York,38.1,54.99,Music,Paid,onsale,https://www.ticketweb.com/event/trio-with-nate-smith-blue-note-jazz-club-tickets/14641283,https://s1.ticketm.net/dam/a/0fb/303dacfb-5747-45d3-aa65-e699bb2d60fb_RETINA_LANDSCAPE_16_9.jpg,Recommended (Indoor)
Avery*Sunshine,2026-01-14,20:00:00,Sony Hall,235 W 46th St,New York,52.39,93.7,Music,Paid,onsale,https://www.ticketweb.com/event/averysunshine-sony-hall-tickets/14610733,https://s1.ticketm.net/dam/a/8fe/ad8b08c5-ebcd-44ae-b5a3-58442a4b98fe_SOURCE,Recommended (Indoor)
