date,temperature_celsius,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,cloudiness,precipitation_chance,weather_main,weather_description
2026-01-16,-5.1,-12.1,-6.35,-4.32,50.0,1004.0,9.26,0.0,0.0,Clear,clear sky
2026-01-16,-4.54,-11.54,-4.54,-4.26,44.0,1007.0,8.01,9.0,0.0,Clear,clear sky
2026-01-17,0.65,-1.64,0.65,0.65,92.0,1016.0,1.95,100.0,0.0,Snow,snow
2026-01-18,0.72,-3.38,0.72,0.72,70.0,1020.0,3.97,100.0,0.0,Clouds,overcast clouds
2026-01-19,-2.06,-7.96,-2.06,-2.06,52.0,1014.0,5.81,49.0,0.0,Clouds,scattered clouds
2026-01-20,-6.87,-13.87,-6.87,-6.87,40.0,1023.0,6.44,1.0,0.0,Clear,clear sky
